sent1,sent2,similarity,test-level
"Today, 926 years ago, was 1116-8-20.","Today, 926 years ago, was 1116-8-20.",1,l
"Today, 409 years ago, was 1634-4-2.",409 years ago today was 1634-4-2.,1,l
795 years ago today was 1230-3-9.,"Today, 795 years ago, was 1230-3-9.",1,l
1148 years ago today was 883-7-1.,"Today, 1148 years ago, was 883-7-1.",1,l
"Today, 432 years ago, was 1581-9-3.","Today, 432 years ago, was 1581-9-3.",1,l
280 years ago today was 1736-11-4.,"Today, 280 years ago, was 1736-11-4.",1,l
"Today, 739 years ago, was 1304-9-22.","Today, 739 years ago, was 1304-9-22.",1,l
1896 years ago today was 149-3-24.,1896 years ago today was 149-3-24.,1,l
686 years ago today was 1338-5-28.,686 years ago today was 1338-5-28.,1,l
922 years ago today was 1110-4-28.,922 years ago today was 1110-4-28.,1,l
"Assuming today is 2032-3-25, 1939 years ago it was 93-3-25.","If today is 2032-3-25, then 1939 years ago today was 92-3-25.",1,l
"Assuming today is 2004-10-15, 1494 years ago it was 510-10-15.","Assuming today is 2004-10-15, 1494 years ago it was 510-10-15.",1,l
"Assuming today is 2039-9-5, 390 years ago today should be 1649-9-5.","If today is 2039-9-5, then 390 years ago today was 1649-9-5.",1,l
"Assuming today is 2045-2-7, 853 years ago today should be 1192-2-7.","If today is 2045-2-7, then 853 years ago today was 1192-2-7.",1,l
"Assuming today is 2006-6-21, 1559 years ago today should be 447-6-21.","If today is 2006-6-21, then 1559 years ago today was 447-6-21.",1,l
"Assuming today is 2012-4-10, 1740 years ago it was 272-4-10.","Assuming today is 2012-4-10, 1740 years ago it was 272-4-10.",1,l
"If today is 2016-2-11, then 740 years ago today was 1276-2-11.","If today is 2016-2-11, then 740 years ago today was 1276-2-11.",1,l
"Assuming today is 2038-5-6, 384 years ago today should be 1654-5-6.","If today is 2038-5-6, then 384 years ago today was 1654-5-6.",1,l
"Assuming today is 2010-10-6, 1114 years ago today should be 896-10-6.","If today is 2010-10-6, then 1114 years ago today was 896-10-6.",1,l
"Assuming today is 2023-8-3, 1334 years ago today should be 689-8-3.","If today is 2023-8-3, then 1334 years ago today was 689-8-3.",1,l
"Today is 2030-9-25, therefore a year ago today should be 2029-9-25.","Today is 2030-9-25, therefore a year ago today should be 2029-9-25.",1,l
"Today is 2017-6-10, therefore a year ago today should be 2016-6-10.","Today is 2017-6-10, therefore a year ago today should be 2016-6-10.",1,l
"Today is 2023-6-9, therefore a year ago today should be 2022-6-9.","Today is 2023-6-9, therefore a year ago today should be 2022-6-9.",1,l
"Today is 2025-2-28, therefore a year ago today should be 2024-2-28.","Today is 2025-2-28, therefore a year ago today should be 2024-2-28.",1,l
"Today is 2025-12-27, therefore a year ago today should be 2024-12-27.","Today is 2025-12-27, therefore a year ago today should be 2024-12-27.",1,l
"Today is 2048-6-10, therefore a year ago today should be 2047-6-10.","Today is 2048-6-10, therefore a year ago today should be 2047-6-10.",1,l
"Today is 2045-9-18, therefore a year ago today should be 2044-9-18.","Today is 2045-9-18, therefore a year ago today should be 2044-9-18.",1,l
"Today is 2028-5-22, therefore a year ago today should be 2027-5-22.","Today is 2028-5-22, therefore a year ago today should be 2027-5-22.",1,l
"Today is 2021-10-25, therefore a year ago today should be 2020-10-25.","Today is 2021-10-25, therefore a year ago today should be 2020-10-25.",1,l
"Today is 2018-1-22, therefore a year ago today should be 2017-1-22.","Today is 2018-1-22, therefore a year ago today should be 2017-1-22.",1,l
"Today is 2003-6-26, therefore a year from today should be 2004-6-26.","Today is 2003-6-26, therefore a year from today should be 2004-6-26.",1,l
"Today is 2002-1-19, therefore a year from today should be 2003-1-19.","Today is 2002-1-19, therefore a year from today should be 2003-1-19.",1,l
"Today is 2006-3-11, therefore a year from today should be 2007-3-11.","Today is 2006-3-11, therefore a year from today should be 2007-3-11.",1,l
"Today is 2019-3-28, therefore a year from today should be 2020-3-28.","Today is 2019-3-28, therefore a year from today should be 2020-3-28.",1,l
"Today is 2002-4-15, therefore a year from today should be 2003-4-15.","Today is 2002-4-15, therefore a year from today should be 2003-4-15.",1,l
"Today is 2020-4-1, therefore a year from today should be 2021-4-1.","Today is 2020-4-1, therefore a year from today should be 2021-4-1.",1,l
"Today is 2007-9-3, therefore a year from today should be 2008-9-3.","Today is 2007-9-3, therefore a year from today should be 2008-9-3.",1,l
"Today is 2021-6-18, therefore a year from today should be 2022-6-18.","Today is 2021-6-18, therefore a year from today should be 2022-6-18.",1,l
"Today is 2033-3-20, therefore a year from today should be 2034-3-20.","Today is 2033-3-20, therefore a year from today should be 2034-3-20.",1,l
"Today is 2041-1-12, therefore a year from today should be 2042-1-12.","Today is 2041-1-12, therefore a year from today should be 2042-1-12.",1,l
"276 years from today will be 2289-2-19, and we can calculate this by adding 276 to 2013, resulting in 2289 for the year 276 years from now.",276 years from today is 2289-2-19.,1,l
"1031 years from today will be 3080-8-3, and we can calculate this by adding 1031 to 2049, resulting in 3080 for the year 1031 years from now.",1031 years from today is 3080-8-3.,1,l
