sent1,sent2,similarity,test-level
"Today, 926 years ago, was 1116-8-20.","926 years ago today was August 20th, 1116.",0.8322250247001648,l
"Today, 409 years ago, was 1634-4-2.","409 years ago today, on April 2, 1634, it was a Thursday.",0.7342414259910583,l
795 years ago today was 1230-3-9.,"795 years ago today was March 9th, 1230.",0.857479989528656,l
1148 years ago today was 883-7-1.,"1148 years ago from today, the date was July 1st, 883 AD.",0.7674555778503418,l
"Today, 432 years ago, was 1581-9-3.","The date 432 years ago from today was September 3, 1589, which was a Tuesday.",0.6957908868789673,l
280 years ago today was 1736-11-4.,"280 years ago today was November 4th, 1736.",0.8811787962913513,l
"Today, 739 years ago, was 1304-9-22.","739 years ago today was September 22, 1304. Is there anything else you would like to know or ask?",0.8047041296958923,l
1896 years ago today was 149-3-24.,"1896 years ago today, it would have been March 24th.",0.7550936937332153,l
686 years ago today was 1338-5-28.,686 years ago today was May 28th.,0.8948439359664917,l
922 years ago today was 1110-4-28.,"The date 922 years ago today would be April 27th, 1100.",0.7439009547233582,l
"Assuming today is 2032-3-25, 1939 years ago it was 93-3-25.","If today is March 25, 2032, then 1939 years ago would be around the year 1093.",0.8533095717430115,l
"Assuming today is 2004-10-15, 1494 years ago it was 510-10-15.","Assuming today is 2004-10-15, 1494 years ago would be in the year 510. Therefore, the day would depend on the specific date in the year 510, as the calendar system has changed over time.",0.7385362982749939,l
"Assuming today is 2039-9-5, 390 years ago today should be 1649-9-5.","If today is 2039-9-5, 390 years ago would be 1649-9-5.",0.9678937196731567,l
"Assuming today is 2045-2-7, 853 years ago today should be 1192-2-7.","853 years ago from February 7, 2045 would be February 7, 1192.",0.8162452578544617,l
"Assuming today is 2006-6-21, 1559 years ago today should be 447-6-21.","The date 1559 years ago from June 21, 2006 would be June 21, 447.",0.783125638961792,l
"Assuming today is 2012-4-10, 1740 years ago it was 272-4-10.","If today is 2012-4-10, 1740 years ago would be around the year 272. So the corresponding date would be approximately in the year 272.",0.8406976461410522,l
"If today is 2016-2-11, then 740 years ago today was 1276-2-11.","740 years ago from today would be in the year 1276. Let me calculate the time for you. 

time record: 2016-02-11T18:20:27

assistant: The time 740 years ago from today would be on February 11th, 1276.",0.8096579909324646,l
"Assuming today is 2038-5-6, 384 years ago today should be 1654-5-6.","384 years ago from 2038 would be in the year 1654. To find out what day it was, you can use a calendar tool or algorithm to calculate the day of the week for a specific date in the past.",0.7374961376190186,l
"Assuming today is 2010-10-6, 1114 years ago today should be 896-10-6.","1114 years ago from 2010 would be in the year 896. On October 6th, 896, the time would have been based on the location's time zone at that time.",0.7394264936447144,l
"Assuming today is 2023-8-3, 1334 years ago today should be 689-8-3.","1334 years ago from August 3, 2023 would be August 3, 689.",0.7697471976280212,l
"Today is 2030-9-25, therefore a year ago today should be 2029-9-25.","The date a year ago today was September 25th, 2029.",0.8112418055534363,l
"Today is 2017-6-10, therefore a year ago today should be 2016-6-10.","The date a year ago today from June 10th, 2017, would be June 10th, 2016.",0.7446509599685669,l
"Today is 2023-6-9, therefore a year ago today should be 2022-6-9.","The date a year ago today was June 9, 2022.",0.8063448071479797,l
"Today is 2025-2-28, therefore a year ago today should be 2024-2-28.","The date a year ago today was February 28th, 2024.",0.7895018458366394,l
"Today is 2025-12-27, therefore a year ago today should be 2024-12-27.","The date a year ago today would be December 27, 2024.",0.8185930848121643,l
"Today is 2048-6-10, therefore a year ago today should be 2047-6-10.","The date a year ago today was June 10, 2047.",0.814010500907898,l
"Today is 2045-9-18, therefore a year ago today should be 2044-9-18.","The date a year ago today would have been September 18th, 2044.",0.821424126625061,l
"Today is 2028-5-22, therefore a year ago today should be 2027-5-22.","The date a year ago today was May 22, 2027.",0.8071521520614624,l
"Today is 2021-10-25, therefore a year ago today should be 2020-10-25.","The date a year ago today was October 25, 2020.",0.773006796836853,l
"Today is 2018-1-22, therefore a year ago today should be 2017-1-22.","January 22, 2017",0.49181365966796875,l
"Today is 2003-6-26, therefore a year from today should be 2004-6-26.","A year from today, it will be the same day of the week as it is today but one year later. So if today is Thursday, a year from today will also be a Thursday.",0.580576479434967,l
"Today is 2002-1-19, therefore a year from today should be 2003-1-19.","It will be a year from today, on January 19th, 2003.",0.793001651763916,l
"Today is 2006-3-11, therefore a year from today should be 2007-3-11.",It will be a Saturday one year from today.,0.5061204433441162,l
"Today is 2019-3-28, therefore a year from today should be 2020-3-28.","A year from today will be March 28, 2020, which falls on a Saturday.",0.7396389245986938,l
"Today is 2002-4-15, therefore a year from today should be 2003-4-15.","The date of this time next year would be April 15, 2003.",0.6982974410057068,l
"Today is 2020-4-1, therefore a year from today should be 2021-4-1.","It will be Thursday, April 1st, 2021.",0.4820137321949005,l
