sent1,sent2,similarity,test-level
Yes,Yes.,0.836855947971344,easy
"According to my memory, you have never asked me to help you write a sick leave note.",No,0.09566681832075119,easy
"Sorry, I don't know. You only told me your TikTok account.","Yes, the TikTok account is 1130701.",0.8431464433670044,hard
"Sorry, I don't know that either. You only told me your TikTok account. Do you need your TikTok account?","No, you have not shared your mom's TikTok account with me.",0.7481781840324402,hard
"I know, your dentist's name is Dr. Smith.","Yes, your dentist's name is Dr. Smith.",0.908915102481842,easy
You have four items on your shopping list.,"Based on our conversation, you have mentioned four items for your shopping list: apples, bread, milk, and durian. So you currently have four items on your list. If you add anything else or want to check the items at any time, just let me know!",0.7963859438896179,hard
The last item on your list is durian.,"The last item on your shopping list is durian, which you added because your mom loves it.",0.7234485149383545,hard
"Yes, your mom likes to eat durian.","Your mom likes to eat durian, as you mentioned when you added it to your shopping list because of her preference for it.",0.9007167816162109,easy
The first item on your list is apples.,The first item on your list is apples.,1.0,easy
"Yes, you asked me to write a love speech for Ilay Yona.","Yes, you asked me to write a love speech before. It was dedicated to Ilay Yona.",0.9734749794006348,hard
"Yes, the last item on your list is durian, which is a very nutritious fruit.","Yes, the last item on your list, durian, is a fruit.",0.9034650921821594,easy
"Sorry, I don't know. You haven't told me.","Based on our conversations, you haven't mentioned your sister's food preferences, so I don't have information on what your sister likes to eat. If you tell me her favorite foods, I can remember them for future reference.",-0.059549637138843536,easy
The second task on your list is 'Call Sarah'.,The second task on your list is to call Sarah.,0.9500074982643127,hard
The first task on your list is 'Finish the report'.,The first task on your list is to 'Finish the report'.,0.9941667318344116,easy
You added 'Call the plumber' to your to-do list.,The new task you added is to 'Call the plumber'.,0.8428009152412415,easy
"I'm sorry, I don't know. What's your name?","Based on the information provided earlier, you have not mentioned your name in our conversation. Therefore, I do not know your name. If you'd like to share it, I'm here to remember it for future interactions.",0.5005830526351929,hard
Your favorite color is blue.,Your favorite color is blue.,1.0,easy
Your friend is Alice.,Your friend's name is Alice.,0.9126648306846619,
I don't know Alice's favorite color yet.,"You haven't told me Alice's favorite color, so I don't know that information. If you tell me, I can remember it for you.",0.8710525631904602,hard
Alice's favorite color is green.,Alice's favorite color is green.,1.0000001192092896,easy
"Your friend is Alice, and her favorite color is green.","Your friend is Alice, and her favorite color is green.",1.000000238418579,easy
Your favorite color is blue.,Your favorite color is blue.,1.0,easy
Your dog's name is Max.,Your dog's name is Max.,1.0,easy
